Muridae	MIR-1955
Muridae	MIR-1962
Muridae	MIR-298
Muridae	MIR-3068
Muridae	MIR-3072
Muridae	MIR-3075
Muridae	MIR-3099
Muridae	MIR-3112
Muridae	MIR-351
Muridae	MIR-434
Muridae	MIR-540
Muridae	MIR-666
Muridae	MIR-667
Muridae	MIR-673
Muridae	MIR-674
Muridae	MIR-700
Muridae	MIR-879
Neoaves	MIR-9619
Neognathae	MIR-1451
Neognathae	MIR-1467
Neognathae	MIR-1552
Neognathae	MIR-1559
Neognathae	MIR-1729
Neognathae	MIR-1781
Neognathae	MIR-2131
Neognathae	MIR-2954
Neognathae	MIR-2984
Neoptera	MIR-1000
Neoptera	MIR-14
Neoptera	MIR-2765
Neoptera	MIR-2796
Neoptera	MIR-3049
Neoptera	MIR-306
Neoptera	MIR-3770
Neoptera	MIR-6012
Neoptera	MIR-927
Neoptera	MIR-929
Neoptera	MIR-932
Neoptera	MIR-971
Neopterygii	MIR-724
Neopterygii	MIR-728
Neopterygii	MIR-729
Neopterygii	MIR-734
Nephrozoa	MIR-184
Nephrozoa	MIR-216
Nephrozoa	MIR-242
Nephrozoa	MIR-281
Nephrozoa	MIR-315
Nephrozoa	MIR-375
Nephrozoa	MIR-71
Nephrozoa	MIR-76
Nephrozoa	MIR-8
Octopus	MIR-12553
Octopus	MIR-12554
Octopus	MIR-12555
Octopus	MIR-12556
Octopus	MIR-12557
Octopus	MIR-12558
Octopus	MIR-12559
Octopus	MIR-12560
Octopus	MIR-12561
Octopus	MIR-12562
Octopus	MIR-12563
Octopus	MIR-12564
Octopus	MIR-12565
Octopus	MIR-12566
Octopus	MIR-12567
Octopus	MIR-12568
Octopus	MIR-12569
Octopus	MIR-12570
Octopus	MIR-12571
Octopus	MIR-12572
Octopus	MIR-12573
Octopus	MIR-12574
Octopus	MIR-12575
Octopus	MIR-12576
Octopus	MIR-12577
Octopus	MIR-12578
Octopus	MIR-12579
Octopus	MIR-12580
Octopus	MIR-12581
Octopus	MIR-12582
Octopus	MIR-12583
Octopus	MIR-12584
Octopus	MIR-12585
Octopus	MIR-12586
Octopus	MIR-12587
Olfactores	MIR-126
Olfactores	MIR-15
Olfactores	MIR-196
Osteichthyes	MIR-187
Osteichthyes	MIR-458
Osteichthyes	MIR-460
Osteichthyes	MIR-489
Osteichthyes	MIR-7147
Osteichthyes	MIR-722
Osteichthyes	MIR-726
Osteichthyes	MIR-727
Osteichthyes	MIR-737
Pancrustacea	MIR-282
Pancrustacea	MIR-3
Pancrustacea	MIR-316
Pancrustacea	MIR-965
Panorpida	MIR-988
Platyhelminthes	MIR-2160
Platytrochozoa	MIR-1989
Platytrochozoa	MIR-1992
Pleistoannelida	MIR-1987
Pleistoannelida	MIR-1999
Pleistoannelida	MIR-2685
Pleistoannelida	MIR-2705
Pleistoannelida	MIR-2707
Polyplacophora	MIR-12591
Polyplacophora	MIR-12592
Primates	MIR-3140
Primates	MIR-4677
Primates	MIR-589
Primates	MIR-651
Protostomia	BANTAM
Protostomia	MIR-1175
Protostomia	MIR-12
Protostomia	MIR-1993
Protostomia	MIR-2
Protostomia	MIR-277
Protostomia	MIR-279
Protostomia	MIR-317
Protostomia	MIR-36
Protostomia	MIR-67
Protostomia	MIR-750
Protostomia	MIR-87
Rotifera	MIR-12593
Rotifera	MIR-12594
Rotifera	MIR-12595
Rotifera	MIR-12596
Rotifera	MIR-12597
Rotifera	MIR-12598
Sarcopterygii	MIR-2970
Sarcopterygii	MIR-599
Scrotifera	MIR-12464
Scrotifera	MIR-6119
Sedentaria	MIR-2686
Sedentaria	MIR-2687
Sedentaria	MIR-2690
Sedentaria	MIR-2693
Silicispongia	MIR-2019
Simiiformes	MIR-1266
Simiiformes	MIR-1270
Simiiformes	MIR-1286
Simiiformes	MIR-1294
Simiiformes	MIR-1295
Simiiformes	MIR-1908
Simiiformes	MIR-3138
Simiiformes	MIR-3145
Simiiformes	MIR-3173
Simiiformes	MIR-3187
Simiiformes	MIR-4424
Simiiformes	MIR-550
Simiiformes	MIR-552
Simiiformes	MIR-556
Simiiformes	MIR-5579
Simiiformes	MIR-5586
Simiiformes	MIR-561
Simiiformes	MIR-5687
Simiiformes	MIR-576
Simiiformes	MIR-577
Simiiformes	MIR-579
Simiiformes	MIR-580
Simiiformes	MIR-584
Simiiformes	MIR-605
Simiiformes	MIR-616
Simiiformes	MIR-629
Simiiformes	MIR-642
Simiiformes	MIR-766
Simiiformes	MIR-887
Simiiformes	MIR-944
Sipuncula+Pleistoannelida	MIR-1996
Sipuncula+Pleistoannelida	MIR-1997
Sipuncula+Pleistoannelida	MIR-1998
Sipuncula+Pleistoannelida	MIR-2000
Sipuncula+Pleistoannelida	MIR-2689
Sipuncula+Pleistoannelida	MIR-2691
Tetrapoda	MIR-1662
Tetrapoda	MIR-1805
Tetrapoda	MIR-383
Theria	MIR-1251
Theria	MIR-325
Theria	MIR-3613
Theria	MIR-483
Theria	MIR-671
Theria	MIR-675
Theria	MIR-483
Vertebrata	MIR-101
Vertebrata	MIR-122
Vertebrata	MIR-128
Vertebrata	MIR-130
Vertebrata	MIR-132
Vertebrata	MIR-1329
Vertebrata	MIR-138
Vertebrata	MIR-140
Vertebrata	MIR-142
Vertebrata	MIR-143
Vertebrata	MIR-144
Vertebrata	MIR-145
Vertebrata	MIR-146
Vertebrata	MIR-147
Vertebrata	MIR-148
Vertebrata	MIR-155
Vertebrata	MIR-17
Vertebrata	MIR-1788
Vertebrata	MIR-181
Vertebrata	MIR-19
Vertebrata	MIR-192
Vertebrata	MIR-194
Vertebrata	MIR-199
Vertebrata	MIR-202
Vertebrata	MIR-203
Vertebrata	MIR-204
Vertebrata	MIR-205
Vertebrata	MIR-208
Vertebrata	MIR-21
Vertebrata	MIR-218
Vertebrata	MIR-221
Vertebrata	MIR-223
Vertebrata	MIR-23
Vertebrata	MIR-24
Vertebrata	MIR-26
Vertebrata	MIR-27
Vertebrata	MIR-30
Vertebrata	MIR-338
Vertebrata	MIR-430
Vertebrata	MIR-451
