Lophotrochozoa	MIR-1986
Lophotrochozoa	MIR-1989
Lophotrochozoa	MIR-1990
Lophotrochozoa	MIR-1992
Lophotrochozoa	MIR-1994
Mollusca	MIR-1984
Mollusca	MIR-1985
Mollusca	MIR-2722
C. intestinalis	CIN-NOVEL-1
C. intestinalis	CIN-NOVEL-2
C. intestinalis	CIN-NOVEL-3
C. intestinalis	CIN-NOVEL-4
C. intestinalis	CIN-NOVEL-5
C. intestinalis	CIN-NOVEL-6
C. intestinalis	CIN-NOVEL-7
C. intestinalis	CIN-NOVEL-8
C. intestinalis	CIN-NOVEL-9
C. intestinalis	MIR-1495
C. intestinalis	MIR-1497
C. intestinalis	MIR-1502
C. intestinalis	MIR-3598
C. intestinalis	MIR-3599
C. intestinalis	MIR-4000
C. intestinalis	MIR-4003
C. intestinalis	MIR-4010
C. intestinalis	MIR-4011
C. intestinalis	MIR-4013
C. intestinalis	MIR-4014
C. intestinalis	MIR-4015
C. intestinalis	MIR-4017
C. intestinalis	MIR-4018
C. intestinalis	MIR-4029
C. intestinalis	MIR-4030
C. intestinalis	MIR-4031
C. intestinalis	MIR-4032
C. intestinalis	MIR-4033
C. intestinalis	MIR-4034
C. intestinalis	MIR-4036
C. intestinalis	MIR-4037
C. intestinalis	MIR-4039
C. intestinalis	MIR-4040
C. intestinalis	MIR-4041
C. intestinalis	MIR-4043
C. intestinalis	MIR-4044
C. intestinalis	MIR-4045
C. intestinalis	MIR-4046
C. intestinalis	MIR-4047
C. intestinalis	MIR-4048
C. intestinalis	MIR-4050
C. intestinalis	MIR-4052
C. intestinalis	MIR-4053
C. intestinalis	MIR-4054
C. intestinalis	MIR-4055
C. intestinalis	MIR-4060
C. intestinalis	MIR-4061
C. intestinalis	MIR-4062
C. intestinalis	MIR-4063
C. intestinalis	MIR-4065
C. intestinalis	MIR-4067
C. intestinalis	MIR-4068
C. intestinalis	MIR-4070
C. intestinalis	MIR-4071
C. intestinalis	MIR-4073
C. intestinalis	MIR-4076
C. intestinalis	MIR-4077
C. intestinalis	MIR-4078
C. intestinalis	MIR-4079
C. intestinalis	MIR-4081
C. intestinalis	MIR-4085
C. intestinalis	MIR-4086
C. intestinalis	MIR-4092
C. intestinalis	MIR-4093
C. intestinalis	MIR-4127
C. intestinalis	MIR-4179
C. intestinalis	MIR-4200
C. intestinalis	MIR-5600
C. intestinalis	MIR-5601
C. intestinalis	MIR-5610
Neoaves	MIR-9619
Neognathae	MIR-1451
Neognathae	MIR-1467
Neognathae	MIR-1552
Neognathae	MIR-1559
Neognathae	MIR-1729
Neognathae	MIR-1781
Neognathae	MIR-2131
Neognathae	MIR-2954
Neognathae	MIR-2984
C. livia	MIR-9616
C. livia	MIR-9621
C. livia	MIR-9622
C. livia	MIR-9623
C. livia	MIR-9625
C. livia	MIR-9627
C. livia	MIR-9631
C. livia	MIR-9633
C. livia	MIR-9634
C. livia	MIR-9636
C. livia	MIR-9640
C. livia	MIR-9643
C. livia	MIR-9644
C. livia	MIR-9646
C. livia	MIR-9648
Chondrichthyes	CHO-NOVEL-1
Chondrichthyes	CHO-NOVEL-2
C. milii	CMI-NOVEL-10
C. milii	CMI-NOVEL-11
C. milii	CMI-NOVEL-12
C. milii	CMI-NOVEL-13
C. milii	CMI-NOVEL-14
C. milii	CMI-NOVEL-15
C. milii	CMI-NOVEL-16
C. milii	CMI-NOVEL-17
C. milii	CMI-NOVEL-18
C. milii	CMI-NOVEL-19
C. milii	CMI-NOVEL-20
C. milii	CMI-NOVEL-21
C. milii	CMI-NOVEL-22
C. milii	CMI-NOVEL-23
C. milii	CMI-NOVEL-24
C. milii	CMI-NOVEL-25
C. milii	CMI-NOVEL-3
C. milii	CMI-NOVEL-4
C. milii	CMI-NOVEL-5
C. milii	CMI-NOVEL-6
C. milii	CMI-NOVEL-7
C. milii	CMI-NOVEL-8
C. milii	CMI-NOVEL-9
C. picta	CPI-NOVEL-1
C. picta	MIR-9578
C. picta	MIR-9579
C. picta	MIR-9580
C. picta	MIR-9581
C. picta	MIR-9583
C. picta	MIR-9584
C. picta	MIR-9585
C. picta	MIR-9586
C. picta	MIR-9587
C. picta	MIR-9588
C. picta	MIR-9589
C. picta	MIR-9590
C. picta	MIR-9592
C. picta	MIR-9593
C. picta	MIR-9594
C. picta	MIR-9595
C. picta	MIR-9597
C. porcellus	MIR-12072
C. porcellus	MIR-12073
C. porcellus	MIR-12074
C. porcellus	MIR-12076
C. porcellus	MIR-12078
C. porcellus	MIR-12079
C. porcellus	MIR-12080
C. porcellus	MIR-12081
C. porcellus	MIR-12082
